city_zh,city_en,job_opportunity_index,salary_index,cost_index,income_cost_ratio,job_living_value_index,city_type,notes
北京,Beijing,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
上海,Shanghai,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
广州,Guangzhou,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
深圳,Shenzhen,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
杭州,Hangzhou,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
南京,Nanjing,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
苏州,Suzhou,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
成都,Chengdu,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
重庆,Chongqing,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
武汉,Wuhan,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
西安,Xi'an,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
长沙,Changsha,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
郑州,Zhengzhou,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
天津,Tianjin,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
青岛,Qingdao,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
宁波,Ningbo,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
厦门,Xiamen,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
合肥,Hefei,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
佛山,Foshan,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
东莞,Dongguan,,,,,,,根据 city_job.csv 与 city_cost_numbeo.csv 标准化后计算。
