city_name_zh,city_name_en,province_zh,region,city_tier,notes,gdp_rank,gdp_2024_cny_million,gdp_2024_usd_million,population_2020,population_2010,population_change_percent,cost_of_living_index,rent_index,cost_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,source,gdp_per_capita_2024_cny,gdp_index,population_index,living_cost_index_norm,rent_index_norm,purchasing_power_index_norm,city_living_value_reference_index,missing_key_fields
北京,Beijing,北京市,华北,一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,2.0,4984310.0,699876.0,18960744.0,16704306.0,13.51,38.3,24.3,31.9,39.8,25.0,89.9,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,262875.23,0.9099,0.8378,0.1667,0.0109,0.0,0.2719,0
上海,Shanghai,上海市,华东,一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,1.0,5392671.0,757217.0,21909814.0,20217748.0,8.37,40.5,24.5,33.2,42.0,25.3,92.8,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,246130.39,1.0,1.0,0.0,0.0,0.116,0.279,0
广州,Guangzhou,广东省,华南,一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,5.0,3103250.0,435746.0,16096724.0,10641408.0,51.26,36.5,12.2,25.4,41.7,23.4,95.4,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,192787.68,0.495,0.6802,0.303,0.6685,0.22,0.4216,0
深圳,Shenzhen,广东省,华南,一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,3.0,3680187.0,516757.0,17444609.0,10358381.0,68.41,38.9,19.3,29.9,44.1,23.7,102.8,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,210964.14,0.6223,0.7544,0.1212,0.2826,0.516,0.3855,0
杭州,Hangzhou,浙江省,华东,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,9.0,2186000.0,306949.0,9236032.0,5849537.0,57.89,36.1,13.1,25.6,41.8,24.5,108.9,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,236681.73,0.2927,0.3028,0.3333,0.6196,0.76,0.5014,0
南京,Nanjing,江苏省,华东,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,11.0,1850081.0,259781.0,7519814.0,5827888.0,29.03,31.5,11.6,22.4,34.7,23.3,113.6,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,246027.49,0.2186,0.2084,0.6818,0.7011,0.948,0.6374,0
苏州,Suzhou,江苏省,华东,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,7.0,2672698.0,375289.0,5892892.0,3721700.0,58.34,36.2,10.8,24.5,41.5,27.2,103.3,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,453546.07,0.4001,0.1189,0.3258,0.7446,0.536,0.5016,0
成都,Chengdu,四川省,西南,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,8.0,2351130.0,330136.0,13568357.0,7791692.0,74.14,28.6,10.0,20.1,35.3,20.8,114.9,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,173280.38,0.3291,0.5411,0.9015,0.788,1.0,0.7546,0
重庆,Chongqing,重庆市,西南,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,4.0,3219315.0,452043.0,9580819.0,6263790.0,52.96,28.5,9.0,19.6,36.0,19.6,104.2,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,336016.68,0.5206,0.3218,0.9091,0.8424,0.572,0.711,0
武汉,Wuhan,湖北省,华中,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,10.0,2110623.0,296365.0,10494879.0,7541527.0,39.16,31.4,7.9,20.7,36.8,21.0,107.4,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,201109.8,0.2761,0.3721,0.6894,0.9022,0.7,0.6419,0
西安,Xi'an,陕西省,西北,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,22.0,1331778.0,187003.0,9392938.0,5403052.0,73.85,27.3,8.0,18.5,32.6,17.3,108.1,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,141785.03,0.1043,0.3115,1.0,0.8967,0.728,0.6822,0
长沙,Changsha,湖南省,华中,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,16.0,1526878.0,214398.0,5630256.0,3193354.0,76.31,32.4,6.4,20.5,40.6,21.4,100.6,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,271191.58,0.1473,0.1045,0.6136,0.9837,0.428,0.5432,0
郑州,Zhengzhou,河南省,华中,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,17.0,1453210.0,204054.0,6461013.0,3677032.0,75.71,,,,,,,,224919.84,0.1311,0.1502,,,,0.1311,3
天津,Tianjin,天津市,华北,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,13.0,1802432.0,253090.0,11052404.0,9528277.0,16.0,,,,,,,,163080.54,0.2081,0.4027,,,,0.2081,3
青岛,Qingdao,山东省,华东,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,14.0,1671946.0,234768.0,6165279.0,4556077.0,35.32,,,,,,,,271187.4,0.1793,0.1339,,,,0.1793,3
宁波,Ningbo,浙江省,华东,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,12.0,1814770.0,254823.0,3731203.0,2583073.0,44.45,,,,,,,,486376.65,0.2108,0.0,,,,0.2108,3
厦门,Xiamen,福建省,华东,二线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,33.0,858901.0,120603.0,4617251.0,3119110.0,48.03,,,,,,,,186019.99,0.0,0.0487,,,,0.0,3
合肥,Hefei,安徽省,华东,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,20.0,1350770.0,189670.0,5055978.0,3098727.0,63.16,31.0,6.1,19.6,40.2,19.4,97.1,https://www.numbeo.com/cost-of-living/country_result.jsp?country=China,267162.95,0.1085,0.0729,0.7197,1.0,0.288,0.529,0
佛山,Foshan,广东省,华南,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,21.0,1336190.0,187622.0,9042509.0,6771895.0,33.53,,,,,,,,147767.62,0.1053,0.2922,,,,0.1053,3
东莞,Dongguan,广东省,华南,新一线,课程项目核心城市清单；GDP、人口等数值建议后续从国家统计局或城市统计年鉴补全。,25.0,1228215.0,172461.0,9644871.0,7271322.0,32.64,,,,,,,,127343.85,0.0815,0.3253,,,,0.0815,3
